"","track.name","track.popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track.duration_ms","track.explicit","playlist_name"
"110","Please Me",73,0.747,0.57,1,-6.711,1,0.081,0.0642,0,0.0832,0.65,133.992,200889,TRUE,"Top Hits of 2019"
"111","Robbery",86,0.685,0.692,2,-5.122,1,0.0457,0.328,0,0.153,0.578,159.966,240050,TRUE,"Top Hits of 2019"
"112","Ransom",81,0.745,0.642,7,-6.257,0,0.287,0.0204,0,0.0658,0.226,179.974,131240,TRUE,"Top Hits of 2019"
"113","Better Now",81,0.68,0.578,10,-5.804,1,0.04,0.331,0,0.135,0.341,145.038,231266,TRUE,"Top Hits of 2019"
"114","Antisocial (with Travis Scott)",66,0.716,0.823,5,-5.313,0,0.0495,0.132,0,0.361,0.91,151.957,161746,FALSE,"Top Hits of 2019"
"115","Good as Hell",72,0.682,0.919,0,-3.18,0,0.0875,0.256,0,0.442,0.535,95.982,159735,FALSE,"Top Hits of 2019"
"116","On A Roll",60,0.736,0.81,5,-6.354,1,0.0906,0.077,0,0.0523,0.387,125.011,154447,FALSE,"Top Hits of 2019"
"117","Money",76,0.95,0.59,8,-6.508,0,0.29,0.00534,0,0.11,0.219,130.003,183527,TRUE,"Top Hits of 2019"
"118","Piece Of Your Heart",80,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,152913,FALSE,"Top Hits of 2019"
"119","Juicy",61,0.786,0.658,0,-2.61,1,0.0661,0.0856,0,0.0689,0.458,170.037,202333,TRUE,"Top Hits of 2019"
"120","China",78,0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,301714,FALSE,"Top Hits of 2019"
"121","Nothing Breaks Like a Heart (feat. Miley Cyrus)",73,0.601,0.794,7,-5.844,0,0.0671,0.00987,1.36e-06,0.388,0.244,114.066,217466,FALSE,"Top Hits of 2019"
"122","Location (feat. Burna Boy)",75,0.812,0.496,9,-5.969,0,0.297,0.271,0,0.0955,0.55,109.979,241293,TRUE,"Top Hits of 2019"
"123","Cross Me (feat. Chance the Rapper & PnB Rock)",68,0.746,0.787,4,-6.373,1,0.12,0.214,0,0.0669,0.607,95.005,206186,TRUE,"Top Hits of 2019"
"124","Old Town Road",76,0.907,0.53,1,-6.112,1,0.127,0.0578,2.23e-06,0.101,0.507,135.998,113000,FALSE,"Top Hits of 2019"
"125","Truth Hurts",69,0.715,0.624,4,-3.046,0,0.114,0.11,0,0.123,0.412,158.087,173325,TRUE,"Top Hits of 2019"
"126","Just You and I",63,0.567,0.696,9,-5.416,1,0.301,0.456,0,0.113,0.544,92.061,174982,FALSE,"Top Hits of 2019"
"127","Higher Love",80,0.693,0.678,8,-7.159,1,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,228267,FALSE,"Top Hits of 2019"
"128","Look Back at It",74,0.791,0.587,3,-5.075,0,0.0413,0.407,0,0.148,0.536,96.057,179449,TRUE,"Top Hits of 2019"
"129","Take Me Back to London (feat. Stormzy)",70,0.885,0.762,8,-5.513,0,0.216,0.219,0,0.162,0.605,138.058,189733,FALSE,"Top Hits of 2019"
"130","Grace",68,0.722,0.565,4,-5.848,1,0.0335,0.435,0,0.165,0.488,104.483,185657,FALSE,"Top Hits of 2019"
"131","Sorry",68,0.744,0.79,8,-4.617,0,0.0562,0.0547,0.000802,0.32,0.847,125.002,188640,FALSE,"Top Hits of 2019"
