"","danceability","energy","loudness","mode","speechiness","instrumentalness","valence","tempo","track.duration_ms","track.explicit","track.popularity","track.name","key_name","track.album.release_date","mode_name","key_mode"
"54",0.746,0.7,-4.669,1,0.341,0.000159,0.619,176.044,225933,TRUE,74,"Otro Trago","C","2019-04-19","major","C major"
"55",0.61,0.624,-4.773,1,0.309,2.12e-06,0.244,176.169,250533,TRUE,80,"Callaita","D","2019-05-31","major","D major"
"56",0.709,0.771,-4.598,1,0.166,3.29e-06,0.709,174.006,204453,TRUE,68,"Desconocidos","G","2018-10-12","major","G major"
"57",0.837,0.791,-3.157,0,0.0773,1.14e-06,0.618,91.98,184435,TRUE,73,"HP","E","2019-05-17","minor","E minor"
"58",0.807,0.803,-4.156,1,0.126,0.00853,0.706,91.987,258800,FALSE,73,"Secreto","B","2019-01-15","major","B major"
"59",0.754,0.646,-5.795,1,0.317,1.85e-05,0.429,176.089,242573,FALSE,81,"LA CANCIÓN","G","2019-06-28","major","G major"
"60",0.767,0.709,-4.47,1,0.336,0,0.72,171.993,258638,FALSE,71,"Adan y Eva","C#","2018-11-05","major","C# major"
"61",0.777,0.712,-4.84,1,0.277,0,0.68,95.692,175733,FALSE,77,"11 PM","A#","2019-05-17","major","A# major"
"62",0.795,0.783,-4.271,1,0.0432,0,0.799,92.01,266086,FALSE,75,"Soltera - Remix","F","2019-05-10","major","F major"
"63",0.882,0.689,-4.027,1,0.124,0.00325,0.746,97.963,161626,FALSE,76,"Con Altura","F#","2019-03-28","major","F# major"
"64",0.849,0.655,-2.899,1,0.106,0,0.76,161.966,264483,FALSE,67,"Tal Vez","G#","2019-04-03","major","G# major"
"65",0.786,0.808,-3.702,1,0.0882,0.000289,0.609,105.027,301714,FALSE,78,"China","G","2019-07-19","major","G major"
"66",0.794,0.79,-3.855,0,0.0599,0,0.577,91.984,307546,FALSE,75,"No Me Conoce - Remix","A#","2019-05-17","minor","A# minor"
"67",0.688,0.62,-8.029,0,0.22,5.32e-06,0.727,170.011,360960,TRUE,74,"Pa Mí - Remix","B","2019-05-10","minor","B minor"
"68",0.75,0.665,-3.083,1,0.124,0,0.697,95.239,219357,FALSE,75,"Ella Quiere Beber - Remix","G#","2018-11-02","major","G# major"
"69",0.771,0.382,-6.808,0,0.0514,0,0.535,94.931,164440,FALSE,70,"Un Año","C#","2019-01-18","minor","C# minor"
"70",0.817,0.539,-6.349,0,0.0621,0.000496,0.158,97.062,210367,FALSE,77,"MIA (feat. Drake)","F#","2018-10-11","minor","F# minor"
"71",0.72,0.741,-6.529,0,0.0287,1.41e-05,0.357,119.896,198053,FALSE,79,"Dancin (feat. Luvli) - Krono Remix","A#","2014-11-07","minor","A# minor"
"72",0.76,0.479,-5.574,1,0.0466,0,0.913,89.911,158040,FALSE,83,"Sunflower - Spider-Man: Into the Spider-Verse","D","2018-12-14","major","D major"
"73",0.778,0.317,-10.732,0,0.334,0,0.327,140.048,178626,TRUE,85,"7 rings","C#","2019-02-08","minor","C# minor"
"74",0.759,0.54,-6.039,0,0.0287,0,0.75,116.947,190960,FALSE,82,"Señorita","A","2019-06-21","minor","A minor"
"75",0.701,0.425,-10.965,1,0.375,0.13,0.562,135.128,194087,FALSE,86,"bad guy","G","2019-03-29","major","G major"
"76",0.804,0.705,-5.272,1,0.199,0.000138,0.45,103.009,218469,FALSE,67,"Baby Girl (feat. Lalo Ebratt)","C#","2018-08-17","major","C# major"
"77",0.644,0.568,-3.077,0,0.038,0,0.654,81.409,156520,FALSE,71,"No Te Contaron Mal","A","2019-05-10","minor","A minor"
"78",0.857,0.647,-4.152,0,0.0984,1.2e-06,0.553,95.982,267500,FALSE,71,"Verte Ir","B","2019-03-28","minor","B minor"
"79",0.816,0.754,-2.75,0,0.111,0,0.533,99.966,158400,FALSE,7,"Baila Baila Baila","B","2019-01-05","minor","B minor"
"80",0.673,0.752,-3.572,0,0.0561,4.51e-05,0.797,175.997,201818,FALSE,72,"Te Robaré","D","2019-11-01","minor","D minor"
